Group,Size,Direction,x_youbot_transformed,y_youbot_transformed,theta,x_optitrack,y_optitrack,accuracy_error
Group1,Large,Right,-215.4,33.970000000000006,-0.94,-235.421585,85.586456,55.36354753727546
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.509155,85.62896,55.43488308904083
Group1,Large,Right,-215.4,33.970000000000006,-0.95,-235.342697,85.694328,55.43570393424613
Group1,Large,Right,-215.4,33.970000000000006,-0.93,-235.455368,85.669182,55.45289176485341
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.426422,85.611343,55.38849957315808
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.436722,85.653961,55.431958770683934
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.438583,85.645378,55.42462900273462
Group1,Large,Right,-215.4,33.970000000000006,-0.96,-235.416489,85.65757,55.42801389543036
Group1,Large,Right,-215.4,33.970000000000006,-0.93,-235.461288,85.625031,55.41387465093832
Group1,Large,Right,-215.4,33.970000000000006,-0.9900000000000002,-235.436722,85.602585,55.38405964072613
Group1,Large,Right,-215.4,33.970000000000006,-0.93,-235.435959,85.595779,55.377438640718296
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-235.618454,85.856224,55.68631899424033
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-235.592102,85.815392,55.63870644445347
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-235.615326,85.828659,55.65949980519549
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.14946,85.288368,55.35444864213737
Group4,Large,Right,-215.4,33.970000000000006,-0.94,-235.62291,85.836464,55.669526464048495
Group4,Large,Right,-215.4,33.970000000000006,-0.93,-236.178207,85.263588,55.342262838165475
Group4,Large,Right,-215.4,33.970000000000006,-0.96,-236.136551,85.235535,55.300629528169246
Group4,Large,Right,-215.4,33.970000000000006,-0.96,-236.117737,85.277679,55.33265356702324
Group4,Large,Right,-215.4,33.970000000000006,-0.94,-236.121368,85.345627,55.397022857140534
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.122971,85.293945,55.34969609157637
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.146851,85.3283,55.39049381713617
Group4,Large,Right,-215.4,33.970000000000006,-0.97,-236.104553,85.342606,55.38793336243053
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.134979,85.306686,55.366006570756355
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.134811,85.319885,55.37818231685603
Group4,Large,Right,-215.4,33.970000000000006,-0.97,-236.115311,85.327354,55.377810716098516
Group4,Large,Right,-215.4,33.970000000000006,-0.96,-236.164688,85.158539,55.23982976704277
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.121994,85.299881,55.3548346471218
Group4,Large,Right,-215.4,33.970000000000006,-0.96,-236.165619,85.351051,55.418619022109894
Group4,Large,Right,-215.4,33.970000000000006,-0.96,-236.151001,85.250504,55.319925280101536
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.154556,85.261856,55.331781886018014
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.116379,85.305344,55.35779893086408
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-235.986145,85.135475,55.15156568889635
Group4,Large,Right,-215.4,33.970000000000006,-0.95,-236.136169,85.298782,55.3591236057805
Group4,Large,Right,-215.4,33.970000000000006,-0.93,-236.108978,85.316109,55.36501313324476
Group4,Large,Right,-215.4,33.970000000000006,-0.97,-236.171143,85.354141,55.42355390837301
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.87,-195.639435,91.085144,51.88051225710825
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.606064,91.076355,51.863626783692254
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.679962,91.050102,51.85680324366173
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.619995,91.070145,51.86111093894006
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.599045,91.095993,51.880878401855085
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.595627,91.095726,51.879763620801164
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.573639,91.17775,51.953681476530804
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.580063,91.106216,51.886023488822346
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.664124,91.136482,51.936408698943545
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.599503,91.142731,51.92624153975876
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.590042,91.066696,51.85026017753603
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.626144,91.104103,51.895525160878215
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.579361,91.196808,51.97356458274903
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.83,-195.640091,90.99987,51.798145135759256
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.64473,91.062553,51.85997837861782
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.656235,91.093842,51.89315540238604
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.648819,91.094299,51.891732360137695
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.324738,102.866661,63.289058551360704
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.84,-195.592651,91.017708,51.80349020733124
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.652802,91.0355,51.83582767064883
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.651276,91.089424,51.88763197641563
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.601807,91.103287,51.88863178085944
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.86,-195.665024,91.097626,51.899029525767155
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.85,-195.595612,91.07132,51.85613233742893
Group2,Medium,Left,-182.60000000000002,40.870000000000005,-1.87,-195.633377,91.02507,51.8208448669937
Group2,Small,Right,-215.4,33.970000000000006,-0.96,-239.244461,84.781914,56.12850367437133
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.257782,84.76387,56.11783131533525
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.251953,84.758713,56.11068552522395
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.282059,84.80748,56.1676251485665
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.259338,84.753784,56.10936398816956
Group2,Small,Right,-215.4,33.970000000000006,-0.96,-239.298767,84.858109,56.22055408581606
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.263245,84.757004,56.113939776369655
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.2827,84.802917,56.16376776907767
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.268753,84.783394,56.140167256379314
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.278915,84.81147,56.169899887200486
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.235443,84.661072,56.015293657316775
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.279633,84.833275,56.189942302340135
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.223557,84.819199,56.153387316117
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.219849,84.694519,56.038933199733215
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-241.683777,90.659309,62.486115964134044
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-238.999298,84.802895,56.043822854743134
Group2,Small,Right,-215.4,33.970000000000006,-0.96,-239.271454,84.803894,56.159870862363555
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.265396,84.808258,56.16124644905399
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.268494,84.833931,56.18580321220652
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.249496,84.782013,56.130732442808764
Group2,Small,Right,-215.4,33.970000000000006,-0.97,-239.239044,84.806511,56.14847165762445
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-239.257019,84.792343,56.143280128400136
Group2,Small,Right,-215.4,33.970000000000006,-0.96,-239.270813,84.802635,56.15845879584119
Group2,Small,Right,-215.4,33.970000000000006,-0.95,-231.572845,85.521339,54.028709665204346
Group2,Small,Right,-215.4,33.970000000000006,-0.94,-239.124268,84.694061,55.99795760978738
Group2,Large,Right,-215.4,33.970000000000006,-0.92,-235.356659,84.578506,54.40118673332703
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.327667,84.503403,54.32068418957274
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.36618,84.576622,54.40292762382631
Group2,Large,Right,-215.4,33.970000000000006,-0.96,-235.403793,84.61599,54.45335653076813
Group2,Large,Right,-215.4,33.970000000000006,-0.93,-235.414307,84.635887,54.47572477890512
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.348938,84.67907,54.49192515953848
Group2,Large,Right,-215.4,33.970000000000006,-0.96,-235.42485,84.628204,54.47245404815276
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.366196,84.578705,54.40487114668539
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.347153,84.622055,54.43821808737344
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.412857,84.672615,54.50935344636435
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.372635,84.592285,54.41986666158279
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.422333,84.638145,54.48077400793708
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.460663,84.643707,54.500043863481594
Group2,Large,Right,-215.4,33.970000000000006,-0.97,-235.354019,84.56736,54.38984935833118
Group2,Large,Right,-215.4,33.970000000000006,-0.93,-235.427734,84.62233,54.468051769855464
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.420685,84.632942,54.475329461735136
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.367538,84.620193,54.44395856951157
Group2,Large,Right,-215.4,33.970000000000006,-0.96,-235.341888,84.577934,54.39523766611282
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.32608,84.538513,54.352765993991206
Group2,Large,Right,-215.4,33.970000000000006,-0.96,-235.406525,84.555779,54.39836467774068
Group2,Large,Right,-215.4,33.970000000000006,-0.95,-235.348343,84.61779,54.43468582007017
Group2,Large,Right,-215.4,33.970000000000006,-0.97,-235.430222,84.649223,54.49397615565423
Group2,Large,Right,-215.4,33.970000000000006,-0.96,-235.402466,84.652565,54.48688870783851
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.312744,84.598862,54.40403515387971
Group2,Large,Right,-215.4,33.970000000000006,-0.94,-235.41954,84.639809,54.48129519301171
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.520096,94.270454,54.94121738781669
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.544357,94.257507,54.93434519331687
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.53627,94.307549,54.981076059316074
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.483627,94.360405,55.02009879797703
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.500778,94.536331,55.195155186002005
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.56282,94.225792,54.90787960119807
Group3,Small,Left,-182.60000000000002,40.870000000000005,-1.83,-195.504288,94.239868,54.90777230160014
