mass,position,trial,type,x,y,theta
large,left,24,external,-195.707886,92.151962,3.137198969392354
large,left,24,internal,29.799999999999997,-35.3,-1.85
large,left,25,external,-195.860428,92.197655,-3.1333875779494256
large,left,25,internal,29.799999999999997,-35.3,-1.85
large,right,1,external,-235.470703,92.365639,2.967226225564751
large,right,1,internal,-3.0,-42.199999999999996,-0.96
large,right,2,external,-235.45546,92.393471,2.976282713215647
large,right,2,internal,-3.0,-42.199999999999996,-0.96
large,right,3,external,-235.429031,92.376083,2.9809788126948655
large,right,3,internal,-3.0,-42.199999999999996,-0.94
large,right,4,external,-235.474808,92.378242,2.967533877112436
large,right,4,internal,-3.0,-42.199999999999996,-0.94
large,right,5,external,-235.379623,92.346024,2.962477198313319
large,right,5,internal,-3.0,-42.199999999999996,-0.94
large,right,6,external,-235.425598,92.351822,2.9644673432375885
large,right,6,internal,-3.0,-42.199999999999996,-0.96
large,right,7,external,-235.394623,92.363297,2.9609700074110594
large,right,7,internal,-3.0,-42.199999999999996,-0.97
large,right,8,external,-235.444717,92.358742,2.9657435904499097
large,right,8,internal,-3.0,-42.199999999999996,-0.95
large,right,9,external,-235.451645,92.353233,2.986679855657323
large,right,9,internal,-3.0,-42.199999999999996,-0.95
large,right,10,external,-235.447693,92.379509,2.9700027134489884
large,right,10,internal,-3.0,-42.199999999999996,-0.96
large,right,11,external,-235.435867,92.369759,2.9673403884212237
large,right,11,internal,-3.0,-42.199999999999996,-0.94
large,right,12,external,-235.409027,92.381897,2.9680590854061863
large,right,12,internal,-3.0,-42.199999999999996,-0.95
large,right,13,external,-235.420258,92.370758,2.963300697966926
large,right,13,internal,-3.0,-42.199999999999996,-0.97
large,right,14,external,-235.442215,92.408707,2.9575820447255006
large,right,14,internal,-3.0,-42.199999999999996,-0.95
large,right,15,external,-235.397476,92.37664,2.9539553794013957
large,right,15,internal,-3.0,-42.199999999999996,-0.96
large,right,16,external,-235.448639,92.414909,2.97253370790848
large,right,16,internal,-3.0,-42.199999999999996,-0.94
large,right,17,external,-235.418655,92.370483,2.966297994393817
large,right,17,internal,-3.0,-42.199999999999996,-0.94
large,right,18,external,-235.414368,92.369545,2.981251994774191
large,right,18,internal,-3.0,-42.199999999999996,-0.94
large,right,19,external,-235.439301,92.377243,2.9585622498141197
large,right,19,internal,-3.0,-42.199999999999996,-0.96
large,right,20,external,-235.418518,92.354652,2.9633282791818285
large,right,20,internal,-3.0,-42.199999999999996,-0.94
large,right,21,external,-235.448151,92.365616,2.9676993211576006
large,right,21,internal,-3.0,-42.199999999999996,-0.95
large,right,22,external,-235.407715,92.369339,2.956810258150654
large,right,22,internal,-3.0,-42.199999999999996,-0.95
large,right,23,external,-235.426163,92.368103,2.968396736119727
large,right,23,internal,-3.0,-42.199999999999996,-0.96
large,right,24,external,-235.442932,92.367775,2.945155741073155
large,right,24,internal,-3.0,-42.199999999999996,-0.94
large,right,25,external,-235.368988,92.376747,2.956301333497249
large,right,25,internal,-3.0,-42.199999999999996,-0.96
large,straight,1,external,-214.552856,92.042175,3.106394607105249
large,straight,1,internal,13.600000000000001,-30.0,-1.97
large,straight,2,external,-214.550919,92.049286,3.1064299825372443
large,straight,2,internal,13.600000000000001,-30.0,-1.96
large,straight,3,external,-214.551788,92.070747,3.099202622866467
large,straight,3,internal,13.600000000000001,-30.0,-1.97
large,straight,4,external,-214.560654,92.05217,3.1063768605554922
large,straight,4,internal,13.600000000000001,-30.0,-1.97
large,straight,5,external,-214.56308,92.050346,3.106600582282858
large,straight,5,internal,13.600000000000001,-30.0,-1.97
large,straight,6,external,-214.604828,92.063293,3.111039554939425
large,straight,6,internal,13.600000000000001,-30.0,-1.97
large,straight,7,external,-214.562561,92.053192,3.1084286322710764
large,straight,7,internal,13.600000000000001,-30.0,-1.97
large,straight,8,external,-214.545914,92.064659,3.109664259411203
large,straight,8,internal,13.600000000000001,-30.0,-1.97
large,straight,9,external,-214.526321,92.055252,3.1108380408920344
large,straight,9,internal,13.600000000000001,-30.0,-1.97
large,straight,10,external,-214.54213,92.048988,3.102117935423047
large,straight,10,internal,13.600000000000001,-30.0,-1.97
large,straight,11,external,-214.570694,92.13446,3.130718463415856
large,straight,11,internal,13.600000000000001,-30.0,-1.97
large,straight,12,external,-214.626785,92.049454,3.0953520447219875
large,straight,12,internal,13.600000000000001,-30.0,-1.97
large,straight,13,external,-214.545944,92.037537,3.1099231401120275
large,straight,13,internal,13.600000000000001,-30.0,-1.97
large,straight,14,external,-214.611053,92.114098,3.1278276933474674
large,straight,14,internal,13.600000000000001,-30.0,-1.97
large,straight,15,external,-214.634827,92.087486,3.1067842551441327
large,straight,15,internal,13.600000000000001,-30.0,-1.96
large,straight,16,external,-214.537888,92.052284,3.109476593873726
large,straight,16,internal,13.600000000000001,-30.0,-1.97
large,straight,17,external,-214.563538,92.083588,3.1264639328693935
large,straight,17,internal,13.600000000000001,-30.0,-1.97
large,straight,18,external,-214.572403,92.054161,3.106442622893474
large,straight,18,internal,13.600000000000001,-30.0,-1.97
large,straight,19,external,-214.611298,92.066811,3.099096968248707
large,straight,19,internal,13.600000000000001,-30.0,-1.97
large,straight,20,external,-214.557892,92.079277,3.1064707591961382
large,straight,20,internal,13.600000000000001,-30.0,-1.97
large,straight,21,external,-214.556747,92.062065,3.101232564231036
large,straight,21,internal,13.600000000000001,-30.0,-1.97
large,straight,22,external,-214.559799,92.056122,3.1115952935969977
large,straight,22,internal,13.600000000000001,-30.0,-1.97
large,straight,23,external,-214.497955,92.050003,3.10798098505081
large,straight,23,internal,13.600000000000001,-30.0,-1.97
large,straight,24,external,-214.549805,92.05275,3.10644793686004
large,straight,24,internal,13.600000000000001,-30.0,-1.98
large,straight,25,external,-214.527084,92.08181,3.0983937894784424
large,straight,25,internal,13.600000000000001,-30.0,-1.97
medium,left,1,external,-196.010681,90.122154,0.0010878685433051054
medium,left,1,internal,29.799999999999997,-35.3,-1.85
medium,left,2,external,-195.997849,90.117989,0.0005470256115341952
medium,left,2,internal,29.799999999999997,-35.3,-1.87
medium,left,3,external,-195.969208,90.120316,0.000560829679734536
medium,left,3,internal,29.799999999999997,-35.3,-1.86
medium,left,4,external,-195.879364,90.124161,0.0018607664409056998
medium,left,4,internal,29.799999999999997,-35.3,-1.86
medium,left,5,external,-195.96817,90.116539,0.0016807602476692379
medium,left,5,internal,29.799999999999997,-35.3,-1.85
medium,left,6,external,-195.961166,90.132195,-0.00015922365256771585
medium,left,6,internal,29.799999999999997,-35.3,-1.86
medium,left,7,external,-195.966187,90.122818,-0.00017710662270360825
medium,left,7,internal,29.799999999999997,-35.3,-1.85
medium,left,8,external,-195.922684,90.133125,0.0033282611066509857
medium,left,8,internal,29.799999999999997,-35.3,-1.85
medium,left,9,external,-195.857925,90.146675,-0.000485987490540792
medium,left,9,internal,29.799999999999997,-35.3,-1.86
medium,left,10,external,-195.94516,90.138969,-0.0010539598544406985
medium,left,10,internal,29.799999999999997,-35.3,-1.85
medium,left,11,external,-195.944077,90.138153,-0.0008422707243725868
medium,left,11,internal,29.799999999999997,-35.3,-1.86
medium,left,12,external,-195.936935,90.176178,-0.00011137769805261087
medium,left,12,internal,29.799999999999997,-35.3,-1.84
medium,left,13,external,-195.841202,90.152321,0.0014204672977166065
medium,left,13,internal,29.799999999999997,-35.3,-1.87
medium,left,14,external,-195.912903,90.155052,-0.00011589116208570516
medium,left,14,internal,29.799999999999997,-35.3,-1.84
medium,left,15,external,-195.818939,90.150696,0.001946615792610548
medium,left,15,internal,29.799999999999997,-35.3,-1.85
medium,left,16,external,-195.912323,90.15844,0.0006491877574882677
medium,left,16,internal,29.799999999999997,-35.3,-1.86
medium,left,17,external,-195.896362,90.158386,0.00040295149118633404
medium,left,17,internal,29.799999999999997,-35.3,-1.86
medium,left,18,external,-195.920334,90.153259,-0.00040353620571293163
medium,left,18,internal,29.799999999999997,-35.3,-1.85
medium,left,19,external,-195.87471,90.150444,-0.0008487438083964467
medium,left,19,internal,29.799999999999997,-35.3,-1.86
medium,left,20,external,-195.885727,90.157875,3.7608773380968853e-06
medium,left,20,internal,29.799999999999997,-35.3,-1.84
medium,left,21,external,-195.904266,90.152718,-0.00016946470706686364
medium,left,21,internal,29.799999999999997,-35.3,-1.86
medium,left,22,external,-195.869659,90.157982,-0.0015576185948286531
medium,left,22,internal,29.799999999999997,-35.3,-1.85
medium,left,23,external,-195.845673,90.154282,0.0016369193401560122
medium,left,23,internal,29.799999999999997,-35.3,-1.86
medium,left,24,external,-195.889038,90.153687,-1.4715637131727043e-05
medium,left,24,internal,29.799999999999997,-35.3,-1.87
medium,left,25,external,-195.846817,90.144524,0.002407403936026685
medium,left,25,internal,29.799999999999997,-35.3,-1.85
medium,right,1,external,-235.778931,90.350334,-0.03495331370963896
medium,right,1,internal,-3.0,-42.199999999999996,-0.96
medium,right,2,external,-235.770279,90.350296,-0.037307945149971496
medium,right,2,internal,-3.0,-42.199999999999996,-0.96
medium,right,3,external,-235.764267,90.344818,-0.03682419761758071
medium,right,3,internal,-3.0,-42.199999999999996,-0.95
medium,right,4,external,-235.760452,90.33783,-0.04368331104875086
medium,right,4,internal,-3.0,-42.199999999999996,-0.93
medium,right,5,external,-235.775726,90.356544,-0.0378470060685007
medium,right,5,internal,-3.0,-42.199999999999996,-0.94
medium,right,6,external,-235.745575,90.338074,-0.03877937848692979
medium,right,6,internal,-3.0,-42.199999999999996,-0.95
medium,right,7,external,-235.748123,90.333374,-0.03985513071699998
medium,right,7,internal,-3.0,-42.199999999999996,-0.94
medium,right,8,external,-235.787064,90.354477,-0.038984289480943735
medium,right,8,internal,-3.0,-42.199999999999996,-0.95
medium,right,9,external,-235.785553,90.333298,-0.04327858448495675
medium,right,9,internal,-3.0,-42.199999999999996,-0.95
medium,right,10,external,-235.759476,90.332657,-0.039693388419806006
medium,right,10,internal,-3.0,-42.199999999999996,-0.96
medium,right,11,external,-235.80162,90.358063,-0.03328648927707805
medium,right,11,internal,-3.0,-42.199999999999996,-0.96
medium,right,12,external,-235.761139,90.32608,-0.040672749305506135
medium,right,12,internal,-3.0,-42.199999999999996,-0.95
medium,right,13,external,-235.787842,90.331657,-0.040854279325364
medium,right,13,internal,-3.0,-42.199999999999996,-0.96
medium,right,14,external,-235.768387,90.326454,-0.04276605339089251
medium,right,14,internal,-3.0,-42.199999999999996,-0.94
medium,right,15,external,-235.730988,90.365784,-0.031536789998462315
medium,right,15,internal,-3.0,-42.199999999999996,-0.94
medium,right,16,external,-235.776276,90.343987,-0.03571733191329799
medium,right,16,internal,-3.0,-42.199999999999996,-0.96
medium,right,17,external,-235.752487,90.331825,-0.0444534899069192
medium,right,17,internal,-3.0,-42.199999999999996,-0.96
medium,right,18,external,-235.741837,90.32074,-0.0430155954931337
medium,right,18,internal,-3.0,-42.199999999999996,-0.94
medium,right,19,external,-235.748154,90.332436,-0.04436904092976715
medium,right,19,internal,-3.0,-42.199999999999996,-0.95
medium,right,20,external,-235.775162,90.330231,-0.041588890192731695
medium,right,20,internal,-3.0,-42.199999999999996,-0.96
medium,right,21,external,-235.795807,90.340843,-0.036293633326375654
medium,right,21,internal,-3.0,-42.199999999999996,-0.94
medium,right,22,external,-235.771591,90.346581,-0.047240204937997694
medium,right,22,internal,-3.0,-42.199999999999996,-0.95
medium,right,23,external,-235.750534,90.330788,-0.050472485891918294
medium,right,23,internal,-3.0,-42.199999999999996,-0.95
medium,right,24,external,-235.783813,90.342484,-0.05038566274272661
medium,right,24,internal,-3.0,-42.199999999999996,-0.95
medium,right,25,external,-235.730392,90.315971,-0.047516926550318854
medium,right,25,internal,-3.0,-42.199999999999996,-0.96
medium,straight,1,external,-214.948196,90.022209,-0.01273120434568697
medium,straight,1,internal,13.600000000000001,-30.0,-1.97
medium,straight,2,external,-214.956253,90.021362,-0.013431161603161088
medium,straight,2,internal,13.600000000000001,-30.0,-1.97
medium,straight,3,external,-214.950058,90.011826,-0.013049332887769058
medium,straight,3,internal,13.600000000000001,-30.0,-1.97
medium,straight,4,external,-214.928848,90.02002,-0.012458273412414107
medium,straight,4,internal,13.600000000000001,-30.0,-1.97
medium,straight,5,external,-214.949112,90.014549,-0.01269707740177475
medium,straight,5,internal,13.600000000000001,-30.0,-1.97
medium,straight,6,external,-214.931992,90.019958,-0.01229919635397981
medium,straight,6,internal,13.600000000000001,-30.0,-1.97
medium,straight,7,external,-214.953903,90.019958,-0.012325986829163887
medium,straight,7,internal,13.600000000000001,-30.0,-1.97
medium,straight,8,external,-214.941864,90.022293,-0.012708066141838026
medium,straight,8,internal,13.600000000000001,-30.0,-1.96
medium,straight,9,external,-214.949982,90.022949,-0.0127765830019487
medium,straight,9,internal,13.600000000000001,-30.0,-1.97
medium,straight,10,external,-214.93483,90.016586,-0.012216985035483822
medium,straight,10,internal,13.600000000000001,-30.0,-1.97
medium,straight,11,external,-214.929276,90.007698,-0.01255860751557692
medium,straight,11,internal,13.600000000000001,-30.0,-1.97
medium,straight,12,external,-214.980057,90.013359,-0.012537847132813864
medium,straight,12,internal,13.600000000000001,-30.0,-1.97
medium,straight,13,external,-214.986755,90.015907,-0.012606502416448387
medium,straight,13,internal,13.600000000000001,-30.0,-1.97
medium,straight,14,external,-214.98494,90.021912,-0.013345763577037381
medium,straight,14,internal,13.600000000000001,-30.0,-1.97
medium,straight,15,external,-214.953918,90.012558,-0.013396500866560182
medium,straight,15,internal,13.600000000000001,-30.0,-1.97
medium,straight,16,external,-214.959137,90.002731,-0.01334404803651282
medium,straight,16,internal,13.600000000000001,-30.0,-1.97
medium,straight,17,external,-214.988113,90.00296,-0.012264981166111294
medium,straight,17,internal,13.600000000000001,-30.0,-1.97
medium,straight,18,external,-214.936905,90.002037,-0.012620108629549312
medium,straight,18,internal,13.600000000000001,-30.0,-1.97
medium,straight,19,external,-214.931458,90.011391,-0.01228926258964187
medium,straight,19,internal,13.600000000000001,-30.0,-1.97
medium,straight,20,external,-214.958435,90.009384,-0.013653725231295717
medium,straight,20,internal,13.600000000000001,-30.0,-1.97
medium,straight,21,external,-214.938141,90.004829,-0.013762449522595973
medium,straight,21,internal,13.600000000000001,-30.0,-1.97
medium,straight,22,external,-214.955856,90.008713,-0.012761996257299986
medium,straight,22,internal,13.600000000000001,-30.0,-1.98
medium,straight,23,external,-214.964706,90.017242,-0.012377071572483704
medium,straight,23,internal,13.600000000000001,-30.0,-1.97
medium,straight,24,external,-214.91478,90.025665,-0.012551734212959942
medium,straight,24,internal,13.600000000000001,-30.0,-1.97
medium,straight,25,external,-214.91478,90.025665,-0.012551734212959942
medium,straight,25,internal,13.600000000000001,-30.0,-1.97
small,left,1,external,-195.547699,84.232239,-3.121549517935979
small,left,1,internal,29.799999999999997,-35.3,-1.85
small,left,2,external,-195.520096,84.310738,-3.1131677710363426
small,left,2,internal,29.799999999999997,-35.3,-1.85
small,left,3,external,-195.544357,84.401825,-3.133611995317586
small,left,3,internal,29.799999999999997,-35.3,-1.85
small,left,4,external,-195.53627,84.324615,-3.1104906013019775
small,left,4,internal,29.799999999999997,-35.3,-1.85
small,left,5,external,-195.483627,84.394844,-3.1131468715243957
small,left,5,internal,29.799999999999997,-35.3,-1.85
small,left,6,external,-195.500778,84.412727,-3.11045816448863
small,left,6,internal,29.799999999999997,-35.3,-1.86
small,left,7,external,-195.56282,84.328339,-3.1163866763210226
small,left,7,internal,29.799999999999997,-35.3,-1.83
small,left,8,external,-195.504288,84.298531,-3.1075661761104674
small,left,8,internal,29.799999999999997,-35.3,-1.85
small,left,9,external,-195.576233,84.32589,-3.1100475719711524
small,left,9,internal,29.799999999999997,-35.3,-1.83
small,left,10,external,-195.55275,84.318642,-3.114695983820669
small,left,10,internal,29.799999999999997,-35.3,-1.86
small,left,11,external,-195.527023,84.317245,-3.1131247696999886
small,left,11,internal,29.799999999999997,-35.3,-1.84
small,left,12,external,-196.048294,84.33522,-3.1164570501594584
small,left,12,internal,29.799999999999997,-35.3,-1.85
small,left,13,external,-196.070129,84.333992,-3.112431067387428
small,left,13,internal,29.799999999999997,-35.3,-1.84
small,left,14,external,-195.9702,84.304756,-3.1186574140673335
small,left,14,internal,29.799999999999997,-35.3,-1.86
small,left,15,external,-195.970718,84.329025,-3.124465035588082
small,left,15,internal,29.799999999999997,-35.3,-1.84
small,left,16,external,-195.969681,84.316093,-3.1077612096732787
small,left,16,internal,29.799999999999997,-35.3,-1.87
small,left,17,external,-196.030899,84.296852,-3.110660008808894
small,left,17,internal,29.799999999999997,-35.3,-1.85
small,left,18,external,-196.024017,84.331306,-3.1243927000383307
small,left,18,internal,29.799999999999997,-35.3,-1.86
small,left,19,external,-196.033569,84.31559,-3.1143375143352214
small,left,19,internal,29.799999999999997,-35.3,-1.84
small,left,20,external,-196.023102,84.314194,-3.106800420435627
small,left,20,internal,29.799999999999997,-35.3,-1.85
small,left,21,external,-196.033203,84.321243,-3.116918824154343
small,left,21,internal,29.799999999999997,-35.3,-1.84
small,left,22,external,-195.952362,84.31781,-3.119155492060427
small,left,22,internal,29.799999999999997,-35.3,-1.85
small,left,23,external,-196.039368,84.312805,-3.1119483615823063
small,left,23,internal,29.799999999999997,-35.3,-1.85
small,left,24,external,-196.037918,84.31337,-3.1101382869312295
small,left,24,internal,29.799999999999997,-35.3,-1.86
small,left,25,external,-195.948792,84.309891,-3.115233924140366
small,left,25,internal,29.799999999999997,-35.3,-1.86
small,right,1,external,-238.705399,84.619011,0.027210586889921447
small,right,1,internal,-3.0,-42.199999999999996,-0.93
small,right,2,external,-238.648941,84.65461,-0.00016870699843068805
small,right,2,internal,-3.0,-42.199999999999996,-0.96
small,right,3,external,-238.700516,84.62822,0.029713361918685614
small,right,3,internal,-3.0,-42.199999999999996,-0.96
small,right,4,external,-238.663605,84.659775,-0.002519292660148335
small,right,4,internal,-3.0,-42.199999999999996,-0.96
small,right,5,external,-238.648361,84.665932,-0.001849489917901575
small,right,5,internal,-3.0,-42.199999999999996,-0.96
small,right,6,external,-238.718628,84.622375,0.02665927203629395
small,right,6,internal,-3.0,-42.199999999999996,-0.93
small,right,7,external,-238.637375,84.666267,-0.0021650019598314883
small,right,7,internal,-3.0,-42.199999999999996,-0.95
small,right,8,external,-238.685699,84.62928,0.028470369572846755
small,right,8,internal,-3.0,-42.199999999999996,-0.96
small,right,9,external,-238.734772,84.632439,0.028767370626332545
small,right,9,internal,-3.0,-42.199999999999996,-0.94
small,right,10,external,-238.73735,84.636063,0.028425103609157495
small,right,10,internal,-3.0,-42.199999999999996,-0.96
small,right,11,external,-238.724167,84.666908,0.004416045777942302
small,right,11,internal,-3.0,-42.199999999999996,-0.96
small,right,12,external,-238.678329,84.678055,0.0017877160257578103
small,right,12,internal,-3.0,-42.199999999999996,-0.96
small,right,13,external,-238.69429,84.633667,0.03241767675934714
small,right,13,internal,-3.0,-42.199999999999996,-0.95
small,right,14,external,-238.709045,84.651299,0.02367760518581355
small,right,14,internal,-3.0,-42.199999999999996,-0.94
small,right,15,external,-238.71553,84.655159,0.021815951169522157
small,right,15,internal,-3.0,-42.199999999999996,-0.96
small,right,16,external,-238.731689,84.633888,0.029962099550010453
small,right,16,internal,-3.0,-42.199999999999996,-0.96
small,right,17,external,-238.729431,84.664551,0.011074833504625748
small,right,17,internal,-3.0,-42.199999999999996,-0.95
small,right,18,external,-238.742279,84.667305,0.008038197406084972
small,right,18,internal,-3.0,-42.199999999999996,-0.94
small,right,19,external,-238.708038,84.624969,0.029060832392041255
small,right,19,internal,-3.0,-42.199999999999996,-0.96
small,right,20,external,-238.704468,84.632179,0.032720969571263754
small,right,20,internal,-3.0,-42.199999999999996,-0.96
small,right,21,external,-238.722809,84.630371,0.031035391084183322
small,right,21,internal,-3.0,-42.199999999999996,-0.95
small,right,22,external,-238.676636,84.666428,-0.0016911377491583216
small,right,22,internal,-3.0,-42.199999999999996,-0.95
small,right,23,external,-238.727402,84.668503,0.00947496016564608
small,right,23,internal,-3.0,-42.199999999999996,-0.94
small,right,24,external,-238.721848,84.631767,0.030480837708443603
small,right,24,internal,-3.0,-42.199999999999996,-0.96
small,right,25,external,-238.701965,84.664551,-0.0032618014503126226
small,right,25,internal,-3.0,-42.199999999999996,-0.95
small,straight,1,external,-215.879089,84.248222,0.06557340887204544
small,straight,1,internal,13.600000000000001,-30.0,-1.98
small,straight,2,external,-215.879089,84.248222,0.06557340887204544
small,straight,2,internal,13.600000000000001,-30.0,-1.97
small,straight,3,external,-215.879089,84.248222,0.06557340887204544
small,straight,3,internal,13.600000000000001,-30.0,-1.96
small,straight,4,external,-216.071915,84.208084,-0.030944274699258593
small,straight,4,internal,13.600000000000001,-30.0,-1.97
small,straight,5,external,-215.865631,84.217896,-0.027449464896449637
small,straight,5,internal,13.600000000000001,-30.0,-1.97
small,straight,6,external,-215.882904,84.223328,-0.037843198559203914
small,straight,6,internal,13.600000000000001,-30.0,-1.97
small,straight,7,external,-215.948273,84.217171,-0.022512660663383026
small,straight,7,internal,13.600000000000001,-30.0,-1.97
small,straight,8,external,-215.866928,84.22261,-0.03945346237606258
small,straight,8,internal,13.600000000000001,-30.0,-1.97
small,straight,9,external,-215.896637,84.221123,-0.03675826867845659
small,straight,9,internal,13.600000000000001,-30.0,-1.97
small,straight,10,external,-215.72316,84.242805,-0.0351188437213491
small,straight,10,internal,13.600000000000001,-30.0,-1.97
small,straight,11,external,-215.866562,84.223122,-0.034232196402439095
small,straight,11,internal,13.600000000000001,-30.0,-1.97
small,straight,12,external,-215.89444,84.21553,-0.04342489076522424
small,straight,12,internal,13.600000000000001,-30.0,-1.96
small,straight,13,external,-215.917801,84.268974,-0.12295035955653451
small,straight,13,internal,13.600000000000001,-30.0,-1.97
small,straight,14,external,-215.916779,84.260399,0.08468176774478953
small,straight,14,internal,13.600000000000001,-30.0,-1.97
small,straight,15,external,-215.93959,84.314285,-0.008057356884828698
small,straight,15,internal,13.600000000000001,-30.0,-1.97
small,straight,16,external,-215.849976,84.223488,-0.025855657457542543
small,straight,16,internal,13.600000000000001,-30.0,-1.97
small,straight,17,external,-215.822845,84.223969,-0.026587549767869943
small,straight,17,internal,13.600000000000001,-30.0,-1.97
small,straight,18,external,-215.940063,84.314026,-0.009843805177285623
small,straight,18,internal,13.600000000000001,-30.0,-1.97
small,straight,19,external,-215.965515,84.22123,-0.029838206746838503
small,straight,19,internal,13.600000000000001,-30.0,-1.97
small,straight,20,external,-215.93428,84.225327,-0.04394376474923994
small,straight,20,internal,13.600000000000001,-30.0,-1.97
small,straight,21,external,-215.986374,84.322197,0.04239257297240901
small,straight,21,internal,13.600000000000001,-30.0,-1.97
small,straight,22,external,-216.054291,84.25779,0.050755138070789706
small,straight,22,internal,13.600000000000001,-30.0,-1.98
small,straight,23,external,-215.922119,84.333687,-0.16326801374212505
small,straight,23,internal,13.600000000000001,-30.0,-1.97
small,straight,24,external,-215.995697,84.27713,0.09216661170529653
small,straight,24,internal,13.600000000000001,-30.0,-1.97
